Time,Crypto_Amt,INR,FIAT,Rate,Fee,Desc,Reference,Coin,Market,SIDE
"2020-11-15 00:02:18",0.00609586,7387.95,7387.95,1215000.00,18.52,"BTC sold",3334466,BTC,INR,SELL
"2020-11-14 23:57:06",0.00082304,997.50,997.50,1215000.00,2.50,"BTC sold",3334466,BTC,INR,SELL
"2020-11-14 23:40:41",0.006926,8394.05,8394.05,1215000.00,21.04,"BTC sold",3334466,BTC,INR,SELL
"2020-10-30 02:10:47",100,0.00,350.88,3.50,0.88,"BNS purchased",44416,BNS,INR,BUY
"2020-10-13 14:19:22",100,0.00,526.31,5.25,1.32,"BNS purchased",44412,BNS,INR,BUY
"2020-09-22 01:33:22",20,0.00,124.31,6.20,0.31,"ADA purchased",691059,ADA,INR,BUY
"2020-09-12 09:31:22",18.7,0.00,1454.75,77.60,3.63,"USDT purchased",680152,USDT,INR,BUY
"2020-09-12 09:31:10",16.73,0.00,1301.16,77.58,3.25,"USDT purchased",680151,USDT,INR,BUY
"2020-09-12 09:30:58",40.93,0.00,3183.29,77.58,7.94,"USDT purchased",680149,USDT,INR,BUY
"2020-09-12 09:30:46",52.21,0.00,4060.05,77.57,10.13,"USDT purchased",680147,USDT,INR,BUY
"2020-09-03 00:06:19",35,0.00,2721.04,77.55,6.79,"USDT purchased",637260,USDT,INR,BUY
"2020-09-03 00:05:43",15,0.00,1166.16,77.55,2.91,"USDT purchased",637260,USDT,INR,BUY
"2020-09-02 23:28:07",319,0.00,2862.19,8.95,7.14,"ADA purchased",723463,ADA,INR,BUY
"2020-09-02 23:24:41",1,0.00,8.97,8.95,0.03,"ADA purchased",723463,ADA,INR,BUY
"2020-09-02 18:11:16",10,0.00,764.11,76.22,1.91,"USDT purchased",635667,USDT,INR,BUY
"2020-09-02 18:08:55",8.84,0.00,675.74,76.25,1.69,"USDT purchased",635656,USDT,INR,BUY
"2020-09-02 18:06:22",1,0.00,76.44,76.25,0.20,"USDT purchased",635656,USDT,INR,BUY
"2020-09-02 18:04:35",19.04,0.00,1455.43,76.25,3.63,"USDT purchased",635656,USDT,INR,BUY
"2020-09-02 18:04:07",71.12,0.00,5436.46,76.25,13.56,"USDT purchased",635656,USDT,INR,BUY
"2020-09-02 17:27:02",200,0.00,1263.15,6.30,3.15,"BNS purchased",79919,BNS,INR,BUY
"2020-09-02 15:26:42",24.93,0.00,1895.42,75.84,4.73,"USDT purchased",634940,USDT,INR,BUY
"2020-09-02 10:25:01",15.07,0.00,1141.38,75.55,2.85,"USDT purchased",634237,USDT,INR,BUY
"2020-09-01 00:22:59",0.0033,109.45,109.45,33250.00,0.28,"ETH sold",1045143,ETH,INR,SELL
"2020-08-26 01:14:56",0.0033,0.00,99.25,30000.00,0.25,"ETH purchased",1004322,ETH,INR,BUY
"2020-08-22 12:04:55",20,0.00,190.48,9.50,0.48,"ADA purchased",691060,ADA,INR,BUY
"2020-08-10 05:37:39.000000",100,0.00,601.5,6.00,1.50,"BNS purchased",44408,BNS,INR,BUY
